ambito,cod_localidad,nombre_mapa,localidad,periodo,anio,mes,vigente_snapshot,comprometido_acumulado_anio,girado_acumulado_anio,giro_mes,compromiso_mes
Fondo de Desarrollo Local,6,TUNJUELITO,Tunjuelito,202603,2026,3,88886.243,50063.704,5766.512,1796.498,-62.171
Fondo de Desarrollo Local,6,TUNJUELITO,Tunjuelito,202604,2026,4,88886.243,50246.444,9765.796,3999.285,182.74
Fondo de Desarrollo Local,6,TUNJUELITO,Tunjuelito,202605,2026,5,88886.243,49943.802,13237.786,3471.99,-302.642
Fondo de Desarrollo Local,7,BOSA,Bosa,202401,2024,1,246510.057,92345.785,7053.144,7053.144,92345.785
Fondo de Desarrollo Local,7,BOSA,Bosa,202402,2024,2,239877.061,95137.041,15257.666,8204.522,2791.256
Fondo de Desarrollo Local,7,BOSA,Bosa,202403,2024,3,239877.061,96514.133,20899.366,5641.7,1377.092
Fondo de Desarrollo Local,7,BOSA,Bosa,202404,2024,4,239877.061,97332.701,27200.421,6301.055,818.567
Fondo de Desarrollo Local,7,BOSA,Bosa,202405,2024,5,239877.061,99430.083,34900.248,7699.827,2097.382
Fondo de Desarrollo Local,7,BOSA,Bosa,202406,2024,6,241547.061,102570.424,39503.538,4603.29,3140.341
Fondo de Desarrollo Local,7,BOSA,Bosa,202407,2024,7,241547.061,108077.659,42083.88,2580.342,5507.235
Fondo de Desarrollo Local,7,BOSA,Bosa,202408,2024,8,241547.061,129755.014,45943.117,3859.237,21677.354
Fondo de Desarrollo Local,7,BOSA,Bosa,202409,2024,9,241797.061,146510.486,66512.898,20569.781,16755.472
Fondo de Desarrollo Local,7,BOSA,Bosa,202410,2024,10,241797.061,149037.397,86099.633,19586.735,2526.911
Fondo de Desarrollo Local,7,BOSA,Bosa,202411,2024,11,241797.061,156593.773,91879.971,5780.338,7556.376
Fondo de Desarrollo Local,7,BOSA,Bosa,202412,2024,12,241797.061,238976.034,100926.477,9046.506,82382.261
Fondo de Desarrollo Local,7,BOSA,Bosa,202501,2025,1,302711.06,136402.847,2309.361,2309.361,136402.847
Fondo de Desarrollo Local,7,BOSA,Bosa,202502,2025,2,298117.942,144431.235,15475.244,13165.883,8028.388
Fondo de Desarrollo Local,7,BOSA,Bosa,202503,2025,3,298117.942,153152.386,27777.333,12302.088,8721.151
Fondo de Desarrollo Local,7,BOSA,Bosa,202504,2025,4,298117.942,158575.373,34013.271,6235.938,5422.987
Fondo de Desarrollo Local,7,BOSA,Bosa,202505,2025,5,298117.942,177584.241,50876.584,16863.313,19008.868
Fondo de Desarrollo Local,7,BOSA,Bosa,202506,2025,6,298117.942,180231.875,59047.976,8171.391,2647.634
