CodigoProyecto,entidad,proyecto,actividades,programado_mm,avance_fisico,avance_financiero,actividades_en_cero,brecha_vs_tiempo
7548,Empresa Metro de Bogotá S.A.,AMPLIACIÓN DE LA RED DE LÍNEAS DE METRO Y LAS LÍNEAS FÉRRE,1,9803.64,0.0,0.0,1,-43.6986301369863
7575,Secretaría Distrital del Hábitat,ESTUDIOS Y DISEÑOS DE PROYECTO PARA EL MEJORAMIENTO INTEGR,5,184029.19,0.0,4.921708344203439,5,-43.6986301369863
7624,Secretaría de Educación del Distrito,SERVICIO EDUCATIVO DE COBERTURA CON EQUIDAD EN BOGOTÁ D.C.,2,216970.58,3.3207705914518852,3.3437067827352447,1,-40.37785954553442
7638,Secretaría de Educación del Distrito,FORTALECIMIENTO DE LA INFRAESTRUCTURA Y DOTACIÓN DE AMBIEN,4,1007748.8099999999,10.203991922896327,23.88876747966589,2,-33.494638214089974
7661,Secretaría Distrital de Hacienda,IMPLEMENTACIÓN DE UN MODELO DE ARQUITECTURA DEFINIDO PARA ,2,24232.629999999997,39.320016027975505,76.60612983402957,1,-4.3786141090107975
7717,Instituto Distrital de Turismo,FORTALECIMIENTO DE LA CAPACIDAD DEL SISTEMA DISTRITAL DE T,7,5309.070000000001,5.911907986395609,19.59589909343821,5,-37.78672215059069
7786,Instituto de Desarrollo Urbano,INTEGRACIÓN FUNCIONAL DEL REGIOTRAM A LA ESTRUCTURA URBANA,1,40950.0,0.0,0.0,1,-43.6986301369863
7790,Secretaría Distrital de Salud / Fondo Financiero Distrital de Salud,FORTALECIMIENTO DE LA INFRAESTRUCTURA Y DOTACIÓN DEL SECTO,9,954793.5399999999,19.132314065098676,12.752083555152668,3,-24.566316071887627
7883,Secretaría Distrital del Hábitat,ADECUACIÓN DE ENTORNOS URBANOS Y/O RURALES CON DÉFICIT DE ,4,165439.46,0.0,3.2099415701671177,4,-43.6986301369863
7891,Departamento Administrativo del Servicio Civil Distrital,FORTALECIMIENTO INSTITUCIONAL DEL DASCD: HACIA UNA GESTIÓN,2,654.87,23.68594421139201,23.607738940553087,0,-20.012685925594294
7893,"Secretaría Distrital de Cultura, Recreación y Deporte",FORMACIÓN ARTÍSTICA  CULTURAL Y DEPORTIVA A LO LARGO DE LA,2,9099.31,25.752569250304294,30.691667829758522,0,-17.94606088668201
7913,"Agencia Distrital para la Educación Superior, la Ciencia y la Tecnología",IMPLEMENTACIÓN DEL SISTEMA DE EDUCACIÓN POSTMEDIA PARA BOG,1,28714.84,0.0,0.0,1,-43.6986301369863
7914,Secretaría Distrital de Salud / Fondo Financiero Distrital de Salud,CONSTRUCCIÓN Y MEJORA DE LA CAPACIDAD INSTALADA UMHES CLL ,1,113831.82,0.0,0.0,1,-43.6986301369863
7919,Secretaría Distrital de Salud / Fondo Financiero Distrital de Salud,GENERACIÓN DE CAPACIDADES PARA LA CREACIÓN DEL CENTRO DE D,4,300732.24,20.022009412758674,4.563105704928743,2,-23.67662072422763
7921,Fundación Gilberto Alzate Avendaño,FORTALECIMIENTO INSTITUCIONAL DE LA FUGA BOGOTÁ D.C.,3,10797.57,24.1471006254185,27.239740052622953,0,-19.551529511567804
7922,Fundación Gilberto Alzate Avendaño,CONSOLIDACIÓN DEL DISTRITO CREATIVO EN EL BRONX PARA LA RE,2,46448.69,17.331749076238747,57.464634632322245,1,-26.366881060747556
7924,Fundación Gilberto Alzate Avendaño,CONSOLIDACIÓN DEL ECOSISTEMA DE LA ECONOMÍA CULTURAL Y CRE,4,12186.84,27.95565386224403,29.211099842124785,1,-15.742976274742272
7925,Fundación Gilberto Alzate Avendaño,FORTALECIMIENTO DE ESPACIOS DE TRANSFORMACIÓN CULTURAL  ME,2,6988.7699999999995,35.96422721824441,28.481692772834133,0,-7.734402918741893
7926,Fundación Gilberto Alzate Avendaño,FORTALECIMIENTO DEL ECOSISTEMA ARTÍSTICO Y CULTURAL EN EL ,2,12730.24,19.948640849691486,29.248388090091,0,-23.749989287294817
7927,Instituto para la Economía Social,FORTALECIMIENTO PARA LA INTEGRACIÓN ECONÓMICA Y PRODUCTIVA,4,5887.13,13.56099763119822,18.411857730337193,0,-30.137632505788083
7928,Departamento Administrativo de la Defensoría del Espacio Público,CONSOLIDACIÓN DE LA DEFENSA DEL ESPACIO PÚBLICO Y LA APROP,4,27748.07,22.748968657438873,18.265558649664644,0,-20.94966147954743
7929,"Secretaría Distrital de Cultura, Recreación y Deporte",FORTALECIMIENTO DE ALIANZAS ESTRATÉGICAS A NIVEL BILATERAL,2,106791.14,12.632862926019268,22.03694988179731,0,-31.065767210967035
7930,Instituto Distrital de Protección y Bienestar Animal,DESARROLLO DE UN PROCESO INSTITUCIONAL DE GESTIÓN DEL CONO,3,1979.27,20.9595081592131,15.567860878000475,0,-22.739121977773202
7933,Instituto Distrital de Protección y Bienestar Animal,OPTIMIZACIÓN DE LOS SERVICIOS PARA LA ATENCIÓN INTEGRAL Y ,6,79227.02,17.543297344358884,18.490030295219988,1,-26.15533279262742
